genesymbol;cbioped;pedcbioped;icgcped;pecan
PTPRD;0.003;0.0053;0.567307692;0
CNTNAP2;0.0;0.0027;0.516025641;0
PTPRN2;0.003;0.0066;0.493589744;0
CSMD1;0.007;0.0066;0.480769231;0
ROBO2;0.007;0.0046;0.458333333;0
EYS;0.0;0.0046;0.455128205;0
PCDH15;0.0;0.0053;0.451923077;0
LRP1B;0.01;0.01;0.419871795;0.008279669
DMD;0.007;0.0086;0.416666667;0.007359706
CTNNA3;0.003;0.0013;0.419871795;0
LSAMP;0.0;0.0013;0.413461538;0
DPP10;0.0;0.0027;0.41025641;0
MACROD2;0.003;0.0027;0.381410256;0
GALNTL6;0.0;0.002;0.384615385;0
CSMD3;0.01;0.0146;0.355769231;0.006439742
DLG2;0.003;0.0007;0.381410256;0
CTNNA2;0.003;0.002;0.375;0
IL1RAPL1;0.0;0.0013;0.375;0
RBFOX1;0.0;0.0066;0.365384615;0
PRKG1;0.003;0.002;0.355769231;0
GRID2;0.0;0.002;0.355769231;0
BRAF;0.259;0.0378;0.118589744;0.030358786
KIAA1217;0.007;0.0027;0.304487179;0
RYR2;0.017;0.0126;0.237179487;0.010119595
ROBO1;0.01;0.004;0.243589744;0
HCN1;0.01;0.004;0.233974359;0.005519779
HDAC9;0.003;0.002;0.240384615;0
TP53;0.07;0.1029;0.025641026;0.081876725
CDH13;0.0;0.0027;0.240384615;0
PTPRT;0.0;0.0073;0.233974359;0
ERBB4;0.003;0.0033;0.233974359;0
KIAA1549;0.223;0.0086;0.073717949;0.006439742
NRG1;0.0;0.004;0.233974359;0
MUC4;0.02;0.209;0.0;0.005519779
CDH4;0.01;0.0033;0.217948718;0
MUC17;0.01;0.1506;0.0;0.010119595
CTNNB1;0.07;0.0411;0.0;0.035878565
TTN;0.036;0.0677;0.0;0.041398344
H3F3A;0.007;0.0816;0.006410256;0.046918123
DDX3X;0.053;0.0338;0.0;0.04875805
FLG2;0.003;0.1254;0.0;0
PTCH1;0.033;0.0372;0.0;0.063477461
KMT2D;0.033;0.0537;0.0;0.045078197
MUC16;0.023;0.0763;0.0;0.02299908
MUC5AC;0.0;0.0956;0.0;0
SMARCA4;0.027;0.0319;0.0;0.041398344
ATRX;0.036;0.0358;0.0;0.016559338
KMT2C;0.017;0.0378;0.0;0.029438822
NF1;0.027;0.0352;0.0;0.015639374
KDM6A;0.027;0.0226;0.0;0.024839006
PIK3CA;0.013;0.0299;0.0;0.02575897
IDH1;0.05;0.0066;0.0;0.010119595
FGFR1;0.023;0.0119;0.0;0.034958602
KLF18;0.0;0.0577;0.0;0
CREBBP;0.017;0.0173;0.0;0.019319227
BCOR;0.01;0.0173;0.0;0.018399264
FLG;0.013;0.0259;0.0;0.008279669
SETD2;0.017;0.0146;0.0;0.008279669
RYR3;0.02;0.01;0.0;0.009199632
OBSCN;0.007;0.0206;0.0;0.011039558
KBTBD4;0.003;0.0166;0.0;0.018399264
ZMYM3;0.013;0.0093;0.0;0.015639374
DNAH5;0.017;0.0119;0.0;0.007359706
SVIL;0.02;0.0159;0.0;0
CHD7;0.017;0.0086;0.0;0.011039558
BRCA2;0.007;0.0066;0.0;0.02575897
CTDNEP1;0.017;0.01;0.0;0.008279669
ARID1A;0.007;0.0159;0.0;0.012879485
ATM;0.003;0.0153;0.0;0.016559338
USH2A;0.017;0.0066;0.0;0.008279669
FRAS1;0.02;0.006;0.0;0.005519779
PIK3R1;0.003;0.0186;0.0;0.009199632
ACVR1;0.0;0.0126;0.0;0.016559338
TG;0.017;0.0053;0.0;0.006439742
CMYA5;0.023;0.0053;0.0;0
DNAH17;0.017;0.0113;0.0;0
PTEN;0.007;0.0153;0.0;0.007359706
APC;0.0;0.0066;0.0;0.021159154
LAMA5;0.0;0.0126;0.0;0.013799448
PDGFRA;0.007;0.008;0.0;0.013799448
C11ORF95;0.0;0.0113;0.0;0.023919043
SUFU;0.003;0.0053;0.0;0.022079117
SMO;0.003;0.0086;0.0;0.014719411
RNF213;0.003;0.0073;0.0;0.014719411
TLN2;0.017;0.0053;0.0;0
IGF2R;0.003;0.008;0.0;0.011959522
EGFR;0.003;0.0119;0.0;0.006439742
OTX2;0.007;0.0007;0.0;0.02575897
LRRK1;0.017;0.0027;0.0;0
NOTCH1;0.0;0.0086;0.0;0.011959522
UHRF1;0.017;0.002;0.0;0
PCLO;0.007;0.0119;0.0;0
APOB;0.0;0.0106;0.0;0.008279669
HIST1H3B;0.0;0.006;0.0;0.013799448
RELA;0.003;0.0013;0.0;0.022079117
BRCA1;0.0;0.0013;0.0;0.011959522
C17ORF47;0.007;0.0033;0.0;0
CASR;0.007;0.0027;0.0;0
CDR2;0.007;0.002;0.0;0
RB1;0.007;0.002;0.0;0
